500V,,550V,,600V,,650V,,700V,,750V,,800V,,775V,,725V,,790V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
543.8800049,10.15210342,543.8800049,25.68839836,543.8800049,59.46141815,543.8800049,120.4903336,543.8800049,243.0785675,543.8800049,463.2556152,543.8800049,838.3040161,543.8800049,608.5491943,543.8800049,325.3699036,543.8800049,710.9159546,
544.9199829,10.40992641,544.9199829,26.60880852,544.9199829,61.67467499,544.9199829,123.2701187,544.9199829,252.0875092,544.9199829,474.4924622,544.9199829,875.4445801,544.9199829,632.4865112,544.9199829,341.4211731,544.9199829,730.0326538,
545.9699707,10.9282074,545.9699707,27.73639107,545.9699707,62.8035202,545.9699707,127.0029678,545.9699707,261.2084656,545.9699707,493.482605,545.9699707,886.9171143,545.9699707,653.4022217,545.9699707,351.128418,545.9699707,752.9428101,
546.8599854,10.99876595,546.8599854,27.6464138,546.8599854,63.76066208,546.8599854,129.5526276,546.8599854,259.8591919,546.8599854,501.9797058,546.8599854,903.5529175,546.8599854,665.7844849,546.8599854,354.8244934,546.8599854,771.4262695,
547.9099731,11.25426197,547.9099731,28.39554977,547.9099731,65.01511383,547.9099731,131.6762848,547.9099731,267.20047,547.9099731,514.166748,547.9099731,934.2268066,547.9099731,665.2855225,547.9099731,361.101593,547.9099731,782.4803467,
548.9500122,11.26712894,548.9500122,28.89757156,548.9500122,65.82587433,548.9500122,133.3694458,548.9500122,269.9537048,548.9500122,514.8632813,548.9500122,928.2902222,548.9500122,677.5758667,548.9500122,363.5712891,548.9500122,783.2476807,
549.8499756,11.21682262,549.8499756,28.81351852,549.8499756,66.43860626,549.8499756,132.9289093,549.8499756,270.8323364,549.8499756,520.4689331,549.8499756,939.2089233,549.8499756,681.5437622,549.8499756,368.638916,549.8499756,790.763916,
550.8800049,11.48304558,550.8800049,28.92152596,550.8800049,66.36416626,550.8800049,133.2800903,550.8800049,272.6321106,550.8800049,516.9503174,550.8800049,942.0973511,550.8800049,685.4526978,550.8800049,371.3753967,550.8800049,794.5101318,
551.9099731,11.34515285,551.9099731,28.82979774,551.9099731,67.00215149,551.9099731,134.3856812,551.9099731,271.8941956,551.9099731,518.0012207,551.9099731,940.8607178,551.9099731,684.0930176,551.9099731,368.7585144,551.9099731,788.9707642,
552.9400024,11.26642227,552.9400024,28.82314491,552.9400024,66.5713501,552.9400024,133.7900085,552.9400024,269.8446045,552.9400024,514.8726196,552.9400024,933.817749,552.9400024,675.0526123,552.9400024,363.119812,552.9400024,787.274353,
553.9699707,11.09071636,553.9699707,28.45656967,553.9699707,65.6667099,553.9699707,132.7119598,553.9699707,266.3574219,553.9699707,510.7984009,553.9699707,920.7686157,553.9699707,672.6447754,553.9699707,360.9369202,553.9699707,772.4192505,
554.8499756,10.99131584,554.8499756,27.99546242,554.8499756,64.80303192,554.8499756,130.0819855,554.8499756,265.206543,554.8499756,504.3309326,554.8499756,914.1621704,554.8499756,655.1679688,554.8499756,359.4333191,554.8499756,765.0005493,
555.8800049,10.83380413,555.8800049,27.157938,555.8800049,64.38791656,555.8800049,128.2246704,555.8800049,261.6253052,555.8800049,495.5902405,555.8800049,903.149292,555.8800049,654.2574463,555.8800049,351.2519836,555.8800049,750.0194702,
556.9099731,10.52892876,556.9099731,27.18950081,556.9099731,62.22014999,556.9099731,125.6075516,556.9099731,258.1360168,556.9099731,485.2079163,556.9099731,878.2869263,556.9099731,643.7627563,556.9099731,346.1817627,556.9099731,747.8474121,
557.9400024,10.39809322,557.9400024,26.29541016,557.9400024,61.23504257,557.9400024,122.5938416,557.9400024,251.4636841,557.9400024,474.6418152,557.9400024,859.7185669,557.9400024,626.7252197,557.9400024,336.0172119,557.9400024,723.4113159,
