λ 5,I 5,λ 4,I 4,no λ 4,no I 4,λ 3,I 3,λ 2,I 2,λ 1,I 1,λ 0.8,I 0.8,λ 0.6,I 0.6,λ 0.4,I 0.4,λ 0.2,I 0.2,λ 0.1,I 0.1,σ I 5,σ I 4,σ I 3,σ I 2,σ I 1,σ I 0.8,σ I 0.6,σ I 0.4,σ I 0.2,σ I 0.1
544.9199829,756.4313354,544.9199829,672.0961914,544.9199829,808.8036499,544.9199829,623.4804688,544.9199829,438.0991211,544.9199829,216.5353394,544.9199829,154.346283,544.9199829,107.6849518,544.9199829,48.28108215,544.9199829,17.52639198,544.9199829,10.41467094,,,,,,0.6945582735,0.48458228309999996,0.217264869675,,0.04686601923
545.9699707,794.8828125,545.9699707,706.0671997,545.9699707,840.9290161,545.9699707,643.0982056,545.9699707,453.3415833,545.9699707,223.2584686,545.9699707,159.0797424,545.9699707,111.3277512,545.9699707,49.8863678,545.9699707,18.53453064,545.9699707,10.58794403,,,,2.04003712485,1.0046631086999998,0.7158588407999998,0.5009748803999999,0.2244886551,0.08340538787999999,0.04764574813499999
546.8599854,824.1605225,546.8599854,726.6275635,546.8599854,878.3560791,546.8599854,667.5332642,546.8599854,465.0218811,546.8599854,228.2475739,546.8599854,161.352951,546.8599854,112.8097,546.8599854,50.70157242,546.8599854,18.76565933,546.8599854,10.91735458,,,,2.0925984649499996,1.0271140825499998,0.7260882794999999,0.50764365,0.22815707588999998,0.08444546698499998,0.04912809560999999
547.9099731,857.8022461,547.9099731,755.8063965,547.9099731,900.5852051,547.9099731,674.6190186,547.9099731,475.2436523,547.9099731,232.4337006,547.9099731,166.3147583,547.9099731,115.0595016,547.9099731,51.76555252,547.9099731,19.02177048,547.9099731,11.21706676,,,3.0357855836999996,2.1385964353499998,1.0459516527,0.7484164123499999,0.5177677572,0.23294498634,0.08559796716,0.050476800419999995
548.9500122,881.6019287,548.9500122,776.331665,548.9500122,921.7999878,548.9500122,695.6993408,548.9500122,484.8349304,548.9500122,235.8523712,548.9500122,168.0923309,548.9500122,116.2593842,548.9500122,51.78395081,548.9500122,19.32031441,548.9500122,11.28170776,3.9672086791499996,3.4934924924999997,3.1306470335999994,2.1817571868,1.0613356703999999,0.75641548905,0.5231672289,0.233027778645,0.086941414845,0.05076768491999999
549.8499756,908.1212158,549.8499756,794.0414429,549.8499756,937.0583496,549.8499756,705.0025024,549.8499756,490.5150452,549.8499756,237.2276306,549.8499756,169.6678619,549.8499756,117.1060028,549.8499756,52.51012802,549.8499756,19.29828644,549.8499756,11.26035881,4.086545471099999,3.5731864930499997,3.1725112608,2.2073177033999998,1.0675243376999999,0.7635053785499999,0.5269770126,0.23629557609,0.08684228897999999,0.050671614644999995
550.8800049,919.616333,550.8800049,802.9462891,550.8800049,948.6112061,550.8800049,712.6035156,550.8800049,491.4585266,550.8800049,237.9582367,550.8800049,170.5111542,550.8800049,117.7953873,550.8800049,52.51699829,550.8800049,19.21751976,550.8800049,11.38021088,4.1382734985,3.6132583009499997,3.2067158202,2.2115633697,1.07081206515,0.7673001938999999,0.53007924285,0.23632649230499997,0.08647883891999998,0.051210948959999995
551.9099731,932.4260864,551.9099731,810.0476074,551.9099731,956.9576416,551.9099731,716.1199341,551.9099731,492.7385864,551.9099731,239.2610016,551.9099731,169.8980408,551.9099731,117.6714249,551.9099731,52.44773865,551.9099731,19.35143471,551.9099731,11.26765347,4.1959173888,3.6452142332999995,3.22253970345,2.2173236387999995,1.0766745072,0.7645411835999999,0.52952141205,0.23601482392499998,0.08708145619499999,0.050704440615
552.9400024,931.2956543,552.9400024,814.7751465,552.9400024,955.6602173,552.9400024,718.6242065,552.9400024,491.3721008,552.9400024,237.2147217,552.9400024,168.5756836,552.9400024,117.1467209,552.9400024,52.28160858,552.9400024,19.21702766,552.9400024,11.13997269,4.1908304443499995,3.6664881592499996,3.23380892925,2.2111744536,1.0674662476499999,0.7585905761999999,0.52716024405,0.23526723860999996,0.08647662446999999,0.050129877105
553.9699707,942.0336914,553.9699707,823.1050415,553.9699707,961.9084473,553.9699707,715.6717529,553.9699707,488.2037048,553.9699707,235.1226501,553.9699707,167.6275635,553.9699707,116.4286499,553.9699707,51.79689407,553.9699707,18.99149513,553.9699707,11.07225132,4.2391516113,3.70397268675,3.2205228880499996,2.1969166716,1.0580519254499998,0.75432403575,0.52392892455,0.23308602331499997,0.085461728085,0.04982513094
554.8499756,940.3782959,554.8499756,811.2246094,554.8499756,954.0541992,554.8499756,709.6775513,554.8499756,483.8544312,554.8499756,231.7585754,554.8499756,166.7346954,554.8499756,114.1299286,554.8499756,50.93328857,554.8499756,18.76288795,554.8499756,11.07688046,4.231702331549999,3.6505107422999994,3.1935489808499997,2.1773449404,1.0429135892999999,0.7503061293,0.5135846786999999,0.229199798565,0.08443299577499999,0.04984596206999999
555.8800049,932.5515747,555.8800049,807.0599365,555.8800049,928.2409058,555.8800049,700.3032227,555.8800049,477.1594543,555.8800049,230.2713776,555.8800049,163.4426727,555.8800049,112.9511108,555.8800049,50.21794891,555.8800049,18.58268929,555.8800049,10.71289063,4.19648208615,3.63176971425,3.15136450215,2.1472175443499997,1.0362211991999999,0.73549202715,0.5082799986,0.22598077009499998,0.083622101805,0.048208007835
556.9099731,917.1090088,556.9099731,794.0455933,556.9099731,916.8242188,556.9099731,690.4084473,556.9099731,471.8510132,556.9099731,226.2024994,556.9099731,160.8366547,556.9099731,111.0040894,556.9099731,49.86209869,556.9099731,18.13728905,556.9099731,10.588027,4.1269905395999995,3.5732051698499996,3.10683801285,2.1233295593999997,1.0179112472999998,,,,0.081617800725,
557.9400024,889.9338989,557.9400024,785.3328857,557.9400024,915.1273193,557.9400024,672.2166138,557.9400024,459.9830322,557.9400024,222.2980499,557.9400024,158.2017517,557.9400024,108.5988083,557.9400024,48.28660583,557.9400024,17.7204113,557.9400024,10.3323555,4.00470254505,3.5339979856499997,3.0249747621,,,,,,,
558.9699707,888.5847168,558.9699707,765.7237549,558.9699707,887.4589844,558.9699707,657.5991821,558.9699707,448.8322754,558.9699707,216.9716797,558.9699707,153.7191315,558.9699707,105.5932236,558.9699707,47.22839737,558.9699707,17.34442902,558.9699707,10.12093925,3.9986312255999996,3.44575689705,,,,,,,,
559.8499756,869.5118408,559.8499756,752.1049194,559.8499756,872.5522461,559.8499756,646.7546997,559.8499756,440.8051758,559.8499756,210.5752716,559.8499756,150.9032593,559.8499756,104.4814224,559.8499756,46.0794754,559.8499756,16.90893936,559.8499756,9.873703003,3.9128032835999997,3.3844721372999995,,,,,,,,
