Normalized Wavelength,Intensity
497.0134,0.2129182
497.7306,0.2157277
498.4492,0.2166648
499.1656,0.2204104
499.8828,0.2232199
500.5992,0.2269655
501.3156,0.2307111
502.0313,0.2353929
502.7477,0.2391385
503.4648,0.241948
504.1805,0.2466298
504.8933,0.2550562
505.6061,0.2634827
506.3211,0.2691007
507.0361,0.2747186
507.7503,0.2812727
508.4653,0.2868907
509.1788,0.294381
509.8931,0.3009351
510.5994,0.3177871
511.3187,0.3177881
512.0206,0.340257
512.7356,0.345875
513.4455,0.3580461
514.1533,0.3730258
514.8697,0.3767714
515.5723,0.3983043
516.2837,0.408603
516.9979,0.4151572
517.718,0.4142219
518.4178,0.4394995
519.1277,0.4516706
519.8354,0.4666502
520.5468,0.4769491
521.2581,0.4872479
521.9702,0.4966105
522.6852,0.5022284
523.3994,0.5087826
524.1136,0.5153367
524.833,0.5153376
529.8646,0.5200251
531.3184,0.5003674
532.0399,0.4975599
532.7693,0.4844544
533.5031,0.465732
534.2333,0.4516904
534.962,0.4395211
535.6936,0.4236072
536.4368,0.3927145
537.1713,0.3730559
537.903,0.357142
538.6389,0.335611
539.3713,0.3187609
540.1043,0.3009747
540.8345,0.2869331
541.5712,0.264466
542.3115,0.237318
543.0431,0.221404
543.7819,0.1961284
544.5078,0.1877038
545.235,0.1774069
545.9652,0.1633653
546.6925,0.1530684
547.4234,0.1380906
548.1572,0.1193682
548.8845,0.1090713
549.611,0.09971051
550.3369,0.09128593
551.7921,0.06975591
552.5143,0.06601218
553.2365,0.06226844
553.9638,0.05197152
554.6874,0.04635545
555.4111,0.04073938
556.1326,0.03793181
556.8548,0.03418808
558.2999,0.02576443
559.0207,0.02389304
559.7415,0.02202164
560.463,0.01921408
561.1837,0.01734268
561.9045,0.01547128
562.6252,0.01359988
563.346,0.01172849
564.066,0.01079326
564.7854,0.0107942
565.5054,0.009858974
566.2255,0.008923747
566.9455,0.007988519
567.6648,0.007989462
568.3848,0.007054233
569.1049,0.006119006
569.8242,0.006119948
570.5443,0.00518472
571.2635,0.005185662
571.9828,0.005186604
572.7021,0.005187546
573.4222,0.004252318
574.1415,0.00425326
574.8608,0.004254202
575.5801,0.004255143
576.3002,0.003319916
577.0195,0.003320858
577.7388,0.0033218
578.4581,0.003322742
579.1775,0.003323684
579.8968,0.003324625
580.6168,0.002389398
581.3361,0.00239034
582.0554,0.002391282
582.7748,0.002392223
583.4941,0.002393165
584.2134,0.002394107
584.9334,0.001458879
585.6528,0.001459821
586.3721,0.001460763
587.0914,0.001461705
587.8107,0.001462647
