0,,1,,2,,3,,4,,5,,6,,7,,8,,fondo,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
399.0700073,16.91331863,399.0700073,15.1197958,399.0700073,11.08703995,399.0700073,8.978403091,399.0700073,7.106972218,399.0700073,3.598416805,399.0700073,3.177318811,399.0700073,2.901353836,399.0700073,3.510895967,399.0700073,3.755299807,
400,17.5,400,15.173172,400,10.78334141,400,9.039412498,400,6.571872234,400,4.858299732,400,3.743565559,400,3.32107687,400,2.847239494,400,2.467612505,
401.0700073,18.48855972,401.0700073,14.7896719,401.0700073,12.08387566,401.0700073,8.956253052,401.0700073,5.883031368,401.0700073,4.189944267,401.0700073,2.969473839,401.0700073,2.465179443,401.0700073,1.908169389,401.0700073,3.404478312,
402,20.14388466,402,15.71932983,402,12.44665718,402,9.28792572,402,7.098911285,402,4.094631195,402,3.396821499,402,2.910501957,402,1.90885222,402,0.9663002491,
403.0700073,20.96735764,403.0700073,15.95805359,403.0700073,14.19975853,403.0700073,10.39861298,403.0700073,6.55151844,403.0700073,4.181263447,403.0700073,2.676285744,403.0700073,0.9692270756,403.0700073,1.119263768,403.0700073,1.480567455,
404,22.89470673,404,17.78334427,404,13.38862514,404,10.69711494,404,8.125293732,404,3.73179245,404,1.59901607,404,1.480019808,404,0.8253743649,404,0.8055235744,
405.0700073,22.67059708,405.0700073,20.61131287,405.0700073,16.07639313,405.0700073,12.49851227,405.0700073,7.902807713,405.0700073,3.918099165,405.0700073,2.180496693,405.0700073,0.2459722161,405.0700073,1.214181662,405.0700073,0.9794319272,
406,25.70911217,406,24.17424774,406,16.73846054,406,15.48805332,406,9.938929558,406,3.990326643,406,0.804135561,406,1.321321368,406,0.8995116949,406,1.237470627,
407.0700073,30.13290596,407.0700073,26.65080261,407.0700073,20.49132538,407.0700073,16.75197792,407.0700073,11.82795715,407.0700073,5.438907146,407.0700073,1.513050079,407.0700073,1.112209678,407.0700073,0.6094587445,407.0700073,-0.1202935129,
408,32.75529861,408,29.23704147,408,24.1674366,408,17.0130024,408,12.97155762,408,6.174305439,408,1.466275692,408,1.040988922,408,0.6147792935,408,1.296252608,
409.0700073,36.64345932,409.0700073,33.29670334,409.0700073,27.46268654,409.0700073,21.84143829,409.0700073,15.32612514,409.0700073,5.93867445,409.0700073,1.862659931,409.0700073,0.9654839635,409.0700073,1.515151501,409.0700073,0.4899558723,
410,41.5538559,410,37.30822754,410,30.16786003,410,25.74900818,410,15.9348011,410,7.558139324,410,2.554433584,410,1.641073704,410,0.7636502385,410,-0.1238236725,
411.0700073,46.21504593,411.0700073,42.14559555,411.0700073,35.09415817,411.0700073,30.09953117,411.0700073,19.71762466,411.0700073,8.955571175,411.0700073,3.176096916,411.0700073,1.438503981,411.0700073,0.9672349095,411.0700073,0.6158393621,
412,50.29955292,412,46.92594147,412,38.32630157,412,30.48180962,412,22.29485321,412,10.9731102,412,3.201328039,412,0.3604469597,412,0.9120966792,412,-0.2520478964,
413.0700073,56.00658798,413.0700073,55.46180344,413.0700073,45.70653915,413.0700073,37.26254272,413.0700073,25.60404015,413.0700073,11.15197468,413.0700073,4.287639141,413.0700073,1.639920354,413.0700073,0.868055582,413.0700073,0.1227445751,
414,63.71595001,414,62.82544708,414,50.68274307,414,41.38606262,414,26.97119331,414,12.22953987,414,4.380628109,414,1.773468971,414,0.9803922176,414,0.4828002453,
415.0700073,71.38704681,415.0700073,71.15090179,415.0700073,58.30622864,415.0700073,49.22559738,415.0700073,31.86481476,415.0700073,15.06316853,415.0700073,4.179104805,415.0700073,1.985981345,415.0700073,1.071428537,415.0700073,1.276976109,
416,80.95128632,416,77.79598999,416,65.18321228,416,53.8777504,416,34.29286575,416,16.2402153,416,4.958487034,416,2.700711966,416,0.9611918926,416,0.8846202493,
417.0700073,91.76950073,417.0700073,87.70685577,417.0700073,73.94365692,417.0700073,61.92136383,417.0700073,40.9865799,417.0700073,18.28410721,417.0700073,6.854531765,417.0700073,3.100775242,417.0700073,1.181753755,417.0700073,0.9002057314,
418,99.31829071,418,99.59183502,418,82.77796936,418,69.39439392,418,44.69078064,418,19.9198494,418,7.300173283,418,2.762762785,418,1.593137264,418,1.87341094,
419.0700073,112.9772797,419.0700073,109.0658112,419.0700073,92.66077423,419.0700073,77.01136017,419.0700073,51.5062027,419.0700073,22.96425056,419.0700073,8.227848053,419.0700073,2.487871647,419.0700073,0.9796718359,419.0700073,-0.2511300743,
420,125,420,120.5492783,420,102.6581116,420,87.53125763,420,56.58548355,420,25.79064178,420,7.238375664,420,3.680530071,420,2.027626276,420,0.6238303185,
421.0599976,138.4206848,421.0599976,134.3977203,421.0599976,114.5720215,421.0599976,100.0826111,421.0599976,64.87751007,421.0599976,29.98065758,421.0599976,9.692671776,421.0599976,3.146176338,421.0599976,2.00211978,421.0599976,-0.1205109656,
