Distance_(pixels),Gray_Value
620,161.3724
621,160.7672
622,159.7049
623,159.4441
624,158.6389
625,156.8509
626,155.8967
627,157.2601
628,159.0334
629,160.0121
630,159.8945
631,159.3161
632,159.6203
633,159.9776
634,159.7886
635,160.4860
636,160.8011
637,158.9009
638,157.2840
639,158.6695
640,160.3073
641,160.9719
642,160.3088
643,158.5543
644,158.4064
645,159.8056
646,160.7905
647,159.7779
648,158.5118
649,159.5003
650,162.0956
651,163.3023
652,161.7763
653,159.1278
654,158.0827
655,157.9299
656,157.9231
657,159.7863
658,161.3863
659,160.1267
660,159.5114
661,160.9786
662,161.7656
663,160.3718
664,159.5637
665,160.7281
666,161.3192
667,161.0397
668,161.4736
669,160.7407
670,159.5634
671,159.0748
672,159.6722
673,159.8768
674,159.0717
675,159.2783
676,159.0342
677,159.7752
678,160.0195
679,160.2494
680,160.0234
681,160.6585
682,162.6448
683,159.6898
684,158.2280
685,158.0370
686,158.2144
687,159.4486
688,158.9179
689,157.7114
690,157.0579
691,157.6262
692,158.5021
693,160.4837
694,161.2033
695,160.9967
696,160.3417
697,160.4065
698,160.7747
699,159.5811
700,158.3876
701,157.0410
702,157.3081
703,159.1798
704,159.7511
705,159.1770
706,159.1531
707,160.0117
708,161.6208
709,159.6810
710,159.0277
711,159.1888
712,157.9240
713,156.0117
714,156.9044
715,159.3160
716,159.9173
717,159.4114
718,159.4352
719,159.0884
720,159.0000
721,159.9157
722,159.2996
723,157.8327
724,158.3488
725,157.6414
726,157.2671
727,157.8179
728,158.0000
729,158.0339
730,158.9880
731,159.7900
732,159.8389
733,159.0184
734,157.4182
735,156.6221
736,156.8560
737,157.9012
738,157.6736
739,156.9057
740,156.4768
741,156.4045
742,154.5909
743,153.2067
744,153.2357
745,155.0198
746,157.1023
747,157.9857
748,157.4876
749,155.0342
750,155.9835
751,156.8319
752,157.3168
753,158.1425
754,157.9355
755,157.1601
756,155.9288
757,156.9913
758,156.3347
759,155.9983
760,156.7101
761,157.7154
762,158.0443
763,157.4293
764,156.8208
765,156.8221
766,156.4580
767,156.0000
768,156.4290
769,156.3513
770,155.5700
771,155.0000
772,154.9446
773,154.8104
774,154.6821
775,154.0000
776,154.0017
777,154.0000
778,154.0000
779,154.0000
780,154.0205
781,154.0000
782,154.0000
783,153.9342
784,153.0000
785,153.1130
786,153.9879
787,153.4532
788,152.2664
789,151.1446
790,152.5347
791,152.4886
792,152.8610
793,153.7703
794,153.8371
795,153.5505
796,153.3160
797,153.0266
798,153.4925
799,152.9948
800,151.5655
801,151.0000
802,151.5336
803,152.0000
804,151.5225
805,150.6427
806,150.0124
807,150.5535
808,151.1833
809,151.1770
810,150.6906
811,150.2020
812,150.6899
813,151.9706
814,152.8026
815,151.8837
816,151.7702
817,150.5401
818,150.0720
819,150.9427
820,149.9890
821,150.0950
822,150.7759
823,150.0565
824,149.3128
825,149.9430
826,151.1025
827,151.8408
828,151.9632
829,151.5519
830,151.6580
831,150.6052
832,150.1270
833,150.3616
834,149.5792
835,149.0000
836,149.5811
837,150.0000
838,150.0000
839,149.6179
840,149.4693
841,150.2033
842,150.6999
843,151.3008
844,151.1729
845,149.9421
846,149.8905
847,150.9010
848,151.8461
849,150.7967
850,150.6515
851,150.3499
852,149.9515
853,150.0048
854,149.7169
855,148.0509
856,149.4957
857,148.9973
858,149.4495
859,150.4251
860,150.3415
861,150.0717
862,149.1232
863,149.0000
864,147.9100
865,147.8665
866,148.9427
867,149.6710
868,149.8457
869,149.8853
870,150.0000
871,150.1644
872,150.7898
873,150.4554
874,150.0000
875,150.3851
876,150.0932
877,148.7486
878,147.5954
879,147.1498
880,147.7329
881,148.2984
882,148.1031
883,148.8235
884,148.0097
885,146.7915
886,146.0376
887,146.0261
888,146.4770
889,147.9523
890,147.2020
891,145.9969
892,145.2086
893,145.9911
894,146.9563
895,147.1814
896,147.7635
897,148.5010
898,147.5498
899,146.2130
900,145.1959
901,144.9455
902,145.2980
903,145.7217
904,145.3540
905,145.9828
906,146.5043
907,146.1156
908,145.4358
909,145.4366
910,146.5961
911,147.9740
912,149.2412
913,150.5479
914,151.3583
915,150.8567
916,149.1472
917,147.4378
918,146.2964
919,146.6669
920,147.7055
921,148.6000
922,147.3884
923,146.8560
924,145.9656
925,145.9327
926,146.0207
927,146.8143
928,147.2798
929,146.1630
930,146.0058
931,146.0000
932,146.5171
933,146.9747
934,147.0080
935,146.1922
936,146.0000
937,146.1861
938,147.4417
939,147.4583
940,147.0928
941,147.1373
942,147.6117
943,148.5173
944,149.5557
945,149.8040
946,149.3635
947,148.0567
948,147.4436
949,147.5844
