0M,,1M,,2M,,3M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
396,77.75576782,396,89.57540894,396,221.1638794,396,259.0682983,
397.0700073,73.63556671,397.0700073,84.74736023,397.0700073,208.680542,397.0700073,252.9691772,
398,68.79116058,398,83.53401184,398,205.1847687,398,244.8279572,
399.0700073,67.95591736,399.0700073,79.45487213,399.0700073,193.1235046,399.0700073,236.8937073,
400,66.69905853,400,75.42788696,400,188.7220917,400,233.6848602,
401.0700073,60.52829361,401.0700073,72.07730865,401.0700073,179.8326721,401.0700073,222.8421021,
402,58.00796127,402,68.5586319,402,175.5410919,402,215.4255371,
403.0700073,53.84752274,403.0700073,64.60832214,403.0700073,169.5142517,403.0700073,205.5236969,
404,54.02914047,404,61.08143616,404,162.6780701,404,199.4739685,
405.0700073,51.98554611,405.0700073,58.69285202,405.0700073,153.401474,405.0700073,190.4589996,
406,47.15422821,406,56.89812469,406,146.3300934,406,187.0494995,
407.0700073,44.79668045,407.0700073,54.36343002,407.0700073,141.6389465,407.0700073,176.605011,
408,43.76082611,408,52.11045456,408,130.7897339,408,173.9811249,
409.0700073,40.9401474,409.0700073,49.07829285,409.0700073,126.6441193,409.0700073,165.331543,
410,40.17303085,410,47.0966835,410,124.8328857,410,158.6090851,
411.0700073,37.92104721,411.0700073,43.51986694,411.0700073,120.7729492,411.0700073,157.8733826,
412,36.04156113,412,41.60168457,412,116.9548645,412,150.9522552,
413.0700073,34.37698364,413.0700073,41.82516479,413.0700073,110.6041336,413.0700073,145.1664581,
414,33.84897614,414,40.10967636,414,106.9174271,414,137.2219696,
415.0700073,32.28020477,415.0700073,37.75024414,415.0700073,99.37865448,415.0700073,129.3400116,
416,29.58704758,416,33.99363708,416,98.44569397,416,125.9565048,
417.0700073,28.37229919,417.0700073,33.44504929,417.0700073,94.29857635,417.0700073,122.7258072,
418,28.80636597,418,33.13083267,418,89.84375,418,115.5731125,
419.0700073,27.04580688,419.0700073,31.50574493,419.0700073,85.06389618,419.0700073,112.9445267,
420,24.83008003,420,29.02674103,420,81.2385788,420,104.7806091,
421.0599976,24.5297718,421.0599976,27.9415493,421.0599976,80.97466278,421.0599976,104.6896057,
421.9599915,22.8806591,421.9599915,26.44094276,421.9599915,76.96829224,421.9599915,98.73523712,
423.0299988,22.66782951,423.0299988,26.73671722,423.0299988,74.44818878,423.0299988,95.27800751,
423.9299927,21.35620499,423.9299927,24.93825912,423.9299927,70.55747223,423.9299927,93.48962402,
425,20.24716949,425,23.61963654,425,68.05004883,425,89.59637451,
426.0599976,19.19997025,426.0599976,22.6972065,426.0599976,65.38360596,426.0599976,85.02241516,
426.9599915,19.36210632,426.9599915,21.44178772,426.9599915,62.45797348,426.9599915,80.84912109,
428.0299988,18.09794807,428.0299988,20.40153694,428.0299988,61.31227493,428.0299988,81.16652679,
428.9299927,17.03523445,428.9299927,19.69539452,428.9299927,56.34862518,428.9299927,76.02532959,
430,17.81977844,430,20.32919121,430,54.48238754,430,71.18714142,
431.0700073,16.40104103,431.0700073,18.09511948,431.0700073,54.00928497,431.0700073,69.69789886,
432,14.69939995,432,18.22237968,432,54.33633423,432,68.46006012,
433.0700073,15.07020378,433.0700073,17.20970345,433.0700073,48.96754074,433.0700073,64.9447403,
434,14.241539,434,16.25488663,434,47.96506119,434,62.85138321,
435.0700073,13.46544266,435.0700073,16.06991386,435.0700073,46.49492264,435.0700073,59.16022491,
436,12.85240459,436,15.27903652,436,43.14818573,436,54.40449524,
437.0700073,12.19637871,437.0700073,14.47589779,437.0700073,40.65040588,437.0700073,54.31978989,
438,11.60180283,438,14.58439064,438,40.61090851,438,52.52592087,
439.0700073,12.02520275,439.0700073,14.03733826,439.0700073,37.95188904,439.0700073,50.17729187,
440,10.43264294,440,13.17305756,440,37.31894684,440,49.04175186,
441.0599976,10.78132915,441.0599976,13.29338074,441.0599976,35.17090988,441.0599976,44.52587128,
